,Date,Ride Count
267,2015-02-11,73742
268,2015-05-22,85771
269,2015-04-01,69223
270,2015-01-29,70441
271,2015-05-23,78343
272,2015-04-30,84330
273,2015-06-18,99842
274,2015-02-23,72494
275,2015-02-12,84751
276,2015-05-24,68328
277,2015-04-11,82547
278,2015-05-25,59748
279,2015-06-22,75418
280,2015-04-02,74069
281,2015-01-14,64725
282,2015-01-15,68211
283,2015-05-26,72820
284,2015-04-25,106270
285,2015-02-13,99897
286,2015-05-28,95074
287,2015-04-19,78107
288,2015-04-03,75983
289,2015-05-16,121557
290,2015-04-20,78076
291,2015-03-05,77446
292,2015-03-23,60498
293,2015-02-14,102347
294,2015-06-19,101703
295,2015-05-29,98200
296,2015-06-27,136193
297,2015-03-18,70384
298,2015-06-02,97592
299,2015-05-30,104429
300,2015-03-12,74038
301,2015-01-07,63375
302,2015-02-15,91320
303,2015-05-31,96947
304,2015-01-10,80656
305,2015-04-06,53565
306,2015-02-16,73672
307,2015-02-17,74221
308,2015-06-11,102013
309,2015-06-03,87206
310,2015-06-04,95023
311,2015-02-24,80520
312,2015-02-18,73493
313,2015-06-21,89285
314,2015-04-12,67726
315,2015-01-04,41943
316,2015-02-19,90271
317,2015-04-14,63393
318,2015-06-07,88876
319,2015-03-06,83134
320,2015-02-20,102762
321,2015-06-08,76899
322,2015-01-13,64765
323,2015-02-21,100481
324,2015-06-09,82463
325,2015-03-24,64400
326,2015-01-08,73016
327,2015-03-19,75839
328,2015-06-15,85857
329,2015-02-25,75992
330,2015-02-26,84840
331,2015-03-13,79272
332,2015-06-12,103052
333,2015-02-27,90217
334,2015-02-28,89716
335,2015-06-23,93172
336,2015-01-09,72124
337,2015-03-01,70839
338,2015-03-02,57460
339,2015-03-03,75048
340,2015-03-07,81468
341,2015-03-08,61824
342,2015-03-09,53920
343,2015-03-25,73953
344,2015-03-14,90956
345,2015-03-15,63421
346,2015-03-16,54824
347,2015-03-20,95273
348,2015-03-21,80745
349,2015-03-26,78552
350,2015-01-11,58751
351,2015-05-02,104978
352,2015-05-03,80300
353,2015-05-04,65447
354,2015-05-05,76195
355,2015-05-06,80447
356,2015-05-07,87361
357,2015-05-08,90733
358,2015-05-09,98359
359,2015-05-10,80146
360,2015-05-11,70310
361,2015-05-12,78437
362,2015-05-13,84937
363,2015-05-14,93624
