,Date,Ride Count
265,2014-09-23,401123
266,2014-09-24,416770
267,2014-09-25,426440
268,2014-09-26,448361
269,2014-09-27,486921
270,2014-09-28,433820
271,2014-09-29,400318
272,2014-09-30,435417
273,2014-10-01,458010
274,2014-10-02,467301
275,2014-10-03,485297
276,2014-10-04,467371
277,2014-10-05,416216
278,2014-10-06,409584
279,2014-10-07,436891
280,2014-10-08,456070
281,2014-10-09,477361
282,2014-10-10,489982
283,2014-10-11,509530
284,2014-10-12,437673
285,2014-10-13,389171
286,2014-10-14,431529
287,2014-10-15,456636
288,2014-10-16,481635
289,2014-10-17,492494
290,2014-10-18,513702
291,2014-10-19,461858
292,2014-10-20,416422
293,2014-10-21,445571
294,2014-10-22,461722
295,2014-10-23,471818
296,2014-10-24,492064
297,2014-10-25,500873
298,2014-10-26,441193
299,2014-10-27,411856
300,2014-10-28,434802
301,2014-10-29,454041
302,2014-10-30,469494
303,2014-10-31,494320
304,2014-11-01,561404
305,2014-11-02,435721
306,2014-11-03,412503
307,2014-11-04,424682
308,2014-11-05,449110
309,2014-11-06,470232
310,2014-11-07,486697
311,2014-11-08,515675
312,2014-11-09,445908
313,2014-11-10,407197
314,2014-11-11,402435
315,2014-11-12,444745
316,2014-11-13,464077
317,2014-11-14,491482
318,2014-11-15,508043
319,2014-11-16,442084
320,2014-11-17,402189
321,2014-11-18,456387
322,2014-11-19,458644
323,2014-11-20,458620
324,2014-11-21,495376
325,2014-11-22,516116
326,2014-11-23,425989
327,2014-11-24,398633
328,2014-11-25,409243
329,2014-11-26,425449
330,2014-11-27,296309
331,2014-11-28,347711
332,2014-11-29,395378
333,2014-11-30,370177
334,2014-12-01,399044
335,2014-12-02,440620
336,2014-12-03,438432
337,2014-12-04,458616
338,2014-12-05,496034
339,2014-12-06,508899
340,2014-12-07,460972
341,2014-12-08,431042
342,2014-12-09,437220
343,2014-12-10,447350
344,2014-12-11,469687
345,2014-12-12,497272
346,2014-12-13,501276
347,2014-12-14,441365
348,2014-12-15,410459
349,2014-12-16,439779
350,2014-12-17,456564
351,2014-12-18,482660
352,2014-12-19,509016
353,2014-12-20,494266
354,2014-12-21,419889
355,2014-12-22,382112
356,2014-12-23,384346
357,2014-12-24,348267
358,2014-12-25,210250
359,2014-12-26,278667
360,2014-12-27,323696
361,2014-12-28,323916
362,2014-12-29,339450
363,2014-12-30,377702
364,2014-12-31,405293
365,2015-01-01,382014
366,2015-01-02,345296
367,2015-01-03,406769
368,2015-01-04,328848
369,2015-01-05,363454
370,2015-01-06,384324
371,2015-01-07,429653
372,2015-01-08,450920
373,2015-01-09,447947
374,2015-01-10,515540
375,2015-01-11,419629
376,2015-01-12,396367
377,2015-01-13,448517
378,2015-01-14,442656
379,2015-01-15,451186
380,2015-01-16,478124
381,2015-01-17,476827
382,2015-01-18,427042
383,2015-01-19,342795
384,2015-01-20,405581
385,2015-01-21,431486
386,2015-01-22,452108
387,2015-01-23,472440
388,2015-01-24,460505
389,2015-01-25,407579
390,2015-01-26,230255
391,2015-01-27,135500
392,2015-01-28,380192
393,2015-01-29,431985
394,2015-01-30,483380
395,2015-01-31,520067
396,2015-02-01,423113
397,2015-02-02,336849
398,2015-02-03,421128
399,2015-02-04,415624
400,2015-02-05,459717
401,2015-02-06,476995
402,2015-02-07,485504
403,2015-02-08,410477
404,2015-02-09,381114
405,2015-02-10,424564
406,2015-02-11,447258
407,2015-02-12,463682
408,2015-02-13,486241
409,2015-02-14,501397
410,2015-02-15,459094
411,2015-02-16,412835
412,2015-02-17,394363
413,2015-02-18,436607
414,2015-02-19,477678
415,2015-02-20,498957
416,2015-02-21,455297
417,2015-02-22,399059
418,2015-02-23,431831
419,2015-02-24,448513
420,2015-02-25,444233
421,2015-02-26,471732
422,2015-02-27,487022
423,2015-02-28,499637
424,2015-03-01,385267
425,2015-03-02,388548
426,2015-03-03,397691
427,2015-03-04,435759
428,2015-03-05,366435
429,2015-03-06,446842
430,2015-03-07,504246
431,2015-03-08,411917
432,2015-03-09,392009
433,2015-03-10,413949
434,2015-03-11,428366
435,2015-03-12,461719
436,2015-03-13,476936
437,2015-03-14,496525
438,2015-03-15,418778
439,2015-03-16,374820
440,2015-03-17,413376
441,2015-03-18,452981
442,2015-03-19,451904
443,2015-03-20,458225
444,2015-03-21,468108
445,2015-03-22,429016
446,2015-03-23,390353
447,2015-03-24,412152
448,2015-03-25,427026
449,2015-03-26,427632
450,2015-03-27,465493
451,2015-03-28,510351
452,2015-03-29,424267
453,2015-03-30,391004
454,2015-03-31,429914
455,2015-04-01,440246
456,2015-04-02,444300
457,2015-04-03,444077
458,2015-04-04,440170
459,2015-04-05,377462
460,2015-04-06,375754
461,2015-04-07,425909
462,2015-04-08,443492
463,2015-04-09,460476
464,2015-04-10,468077
465,2015-04-11,473730
466,2015-04-12,407342
467,2015-04-13,377158
468,2015-04-14,411892
469,2015-04-15,427092
470,2015-04-16,452157
471,2015-04-17,469283
472,2015-04-18,500928
473,2015-04-19,445785
474,2015-04-20,397259
475,2015-04-21,426137
476,2015-04-22,432491
477,2015-04-23,463486
478,2015-04-24,474068
479,2015-04-25,489474
480,2015-04-26,424608
481,2015-04-27,393526
482,2015-04-28,411771
483,2015-04-29,427507
484,2015-04-30,446132
485,2015-05-01,461547
486,2015-05-02,507619
487,2015-05-03,434789
488,2015-05-04,390266
489,2015-05-05,432452
490,2015-05-06,444948
491,2015-05-07,442222
492,2015-05-08,449009
493,2015-05-09,469017
494,2015-05-10,405427
495,2015-05-11,395280
496,2015-05-12,424512
497,2015-05-13,439371
498,2015-05-14,439936
499,2015-05-15,457541
500,2015-05-16,479580
501,2015-05-17,423198
502,2015-05-18,403641
503,2015-05-19,432943
504,2015-05-20,441232
505,2015-05-21,446819
506,2015-05-22,419629
507,2015-05-23,383363
508,2015-05-24,336652
509,2015-05-25,301706
510,2015-05-26,387134
511,2015-05-27,415919
512,2015-05-28,432112
513,2015-05-29,441299
514,2015-05-30,451080
515,2015-05-31,368019
516,2015-06-01,400833
517,2015-06-02,419994
518,2015-06-03,425776
519,2015-06-04,444543
520,2015-06-05,451185
521,2015-06-06,449804
522,2015-06-07,402188
523,2015-06-08,391087
524,2015-06-09,409188
525,2015-06-10,424356
526,2015-06-11,439869
527,2015-06-12,443026
528,2015-06-13,428004
529,2015-06-14,382037
530,2015-06-15,374858
531,2015-06-16,400518
532,2015-06-17,425743
533,2015-06-18,429386
534,2015-06-19,436303
535,2015-06-20,413866
536,2015-06-21,366158
537,2015-06-22,374849
538,2015-06-23,406139
539,2015-06-24,411370
540,2015-06-25,419739
541,2015-06-26,425774
542,2015-06-27,445861
543,2015-06-28,348433
544,2015-06-29,359808
545,2015-06-30,374240
